iter	Passed	Remaining
410	3780	5418
411	3788	5407
412	3797	5397
413	3806	5387
414	3814	5377
415	3823	5366
416	3832	5357
417	3840	5347
418	3849	5337
419	3857	5327
420	3865	5316
421	3874	5306
422	3883	5296
423	3890	5285
424	3899	5275
425	3909	5267
426	3918	5258
427	3926	5248
428	3935	5238
429	3943	5227
430	3952	5217
431	3961	5208
432	3969	5198
433	3978	5188
434	3987	5179
435	3995	5169
436	4004	5159
437	4013	5149
438	4020	5138
439	4029	5127
440	4036	5116
441	4045	5107
442	4054	5097
443	4062	5087
444	4071	5078
445	4080	5068
446	4089	5059
447	4098	5049
448	4107	5040
449	4116	5030
450	4124	5020
451	4133	5011
452	4141	5001
453	4150	4991
454	4159	4982
455	4167	4971
456	4176	4962
457	4184	4952
458	4192	4941
459	4201	4932
460	4209	4921
461	4218	4912
462	4227	4902
463	4235	4892
464	4243	4882
465	4252	4873
466	4260	4862
467	4269	4853
468	4277	4843
469	4285	4832
470	4294	4823
471	4303	4813
472	4312	4804
473	4321	4795
474	4331	4787
475	4338	4776
476	4347	4767
477	4357	4758
478	4365	4748
479	4374	4739
480	4383	4730
481	4392	4720
482	4400	4710
483	4409	4700
484	4417	4690
485	4425	4680
486	4435	4672
487	4446	4664
488	4454	4654
489	4463	4645
490	4471	4635
491	4498	4644
492	4507	4635
493	4516	4626
494	4526	4617
495	4534	4607
496	4543	4598
497	4552	4589
498	4560	4578
499	4569	4569
500	4577	4559
501	4585	4549
502	4594	4539
503	4602	4529
504	4610	4519
505	4619	4509
506	4627	4499
507	4636	4490
508	4645	4480
509	4653	4471
510	4664	4463
511	4673	4454
512	4682	4444
513	4691	4435
514	4700	4426
515	4709	4417
516	4718	4408
517	4727	4399
518	4736	4389
519	4744	4379
520	4753	4370
521	4761	4360
522	4769	4350
523	4778	4340
524	4786	4330
525	4795	4321
526	4804	4311
527	4812	4301
528	4821	4292
529	4829	4283
530	4837	4272
531	4846	4263
532	4855	4254
533	4863	4243
534	4871	4234
535	4879	4223
536	4887	4214
537	4896	4204
538	4904	4194
539	4913	4185
540	4921	4175
541	4929	4165
542	4938	4156
543	4947	4147
544	4955	4137
545	4964	4128
546	4973	4118
547	4981	4108
548	4990	4099
549	4998	4089
550	5007	4080
551	5015	4070
552	5023	4060
553	5032	4051
554	5042	4043
555	5051	4034
556	5062	4025
557	5072	4017
558	5082	4009
559	5091	4000
560	5102	3992
561	5112	3984
562	5122	3976
563	5133	3968
564	5142	3959
565	5153	3951
566	5163	3943
567	5172	3934
568	5182	3925
569	5192	3917
570	5203	3909
571	5213	3901
572	5223	3892
573	5233	3884
574	5244	3876
575	5255	3868
576	5266	3860
577	5275	3851
578	5286	3843
579	5297	3835
580	5308	3828
581	5319	3820
582	5328	3811
583	5338	3802
584	5348	3793
585	5356	3784
586	5365	3775
587	5375	3766
588	5384	3757
589	5392	3747
590	5402	3738
